cluster_name,withdrawal_address,fee_recipient_address,validator_count,operator1,operator2,operator3,operator4,operator5,operator6,operator7
Lido x Obol: Luminous Lynx,0xF0179dEC45a37423EAD4FaD5fCb136197872EAd9,0xE73a3602b99f1f913e72F8bdcBC235e206794Ac8,100,0x000000F0bAFF74c26b0b6704b98b91C7CBDaC4e4,0x1041685f106e02428626409050b4bb74d056815a,0x1c8c23d270e56177D55A2CB0B90775E89B936f3d,0x772213aaD4c6B37d2cc0Fa3B74F9ace5a028B8C8,0x7b1660682078fe0efd9310e8efe32cb93a0417bc,0x9d412ef6BfC03C816C780bAd7cE3654281Ede184,0xDE7ff8092c91503cd468aBb2DEb115a91fE83c26
Lido x Obol: Quaint Quokka,0xF0179dEC45a37423EAD4FaD5fCb136197872EAd9,0xE73a3602b99f1f913e72F8bdcBC235e206794Ac8,100,0x2ddE4eefE48b040C2DB25617F7DA204C2FcAC1D2,0x55555f21490ce4d0b5DD938728a63A0faE244D9C,0x5b4A0Ae9A19306f1cf3d9Aa227248750908BE506,0x698C9f8017d2940370e63539b044305E6e03e013,0x7832687B7EFf9C199FD304b7122fa922Ff0448A5,0xe72a34afF3EbF66C321Ab96438E232526c648531,0xfFfaA742a7258c6B5f917577c928bB72cA9Db7Dd
